c Number of lines:0028
c 2441317.5 10.0000  1972 JAN 1
c 2441499.5 11.0000  1972 JUL 1
c 2441683.5 12.0000  1973 JAN 1
c 2442048.5 13.0000  1974 JAN 1
c 2442413.5 14.0000  1975 JAN 1
c 2442778.5 15.0000  1976 JAN 1
c 2443144.5 16.0000  1977 JAN 1
c 2443509.5 17.0000  1978 JAN 1
c 2443874.5 18.0000  1979 JAN 1
c 2444239.5 19.0000  1980 JAN 1
c 2444786.5 20.0000  1981 JUL 1
c 2445151.5 21.0000  1982 JUL 1
c 2445516.5 22.0000  1983 JUL 1
c 2446247.5 23.0000  1985 JUL 1
c 2447161.5 24.0000  1988 JAN 1
c 2447892.5 25.0000  1990 JAN 1
c 2448257.5 26.0000  1991 JAN 1
c 2448804.5 27.0000  1992 JUL 1
c 2449169.5 28.0000  1993 JUL 1
c 2449534.5 29.0000  1994 JUL 1
c 2450083.5 30.0000  1996 JAN 1
c 2450630.5 31.0000  1997 JUL 1
c 2451179.5 32.0000  1999 JAN 1
c 2453736.5 33.0000  2006 JAN 1
c 2454832.5 34.0000  2009 JAN 1
c 2456109.5 35.0000  2012 JUL 1
c 2457204.5 36.0000  2015 JUL 1
c 2461179.5 37.0000  2999 JAN 1
cxxx99999xxx99.9999==========33
